               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.026044,            0.035724,           0.0057218,              0.9778,             0.97453,             0.98091,             0.73608,            0.023878,            0.033539,           0.0036027,           0.0075448,           0.0075448,           0.0075448
                  64,            0.025553,            0.036629,           0.0057129,             0.97455,             0.97773,             0.98033,             0.74659,            0.023295,            0.032661,           0.0034175,           0.0075052,           0.0075052,           0.0075052
                  65,            0.026216,            0.036821,           0.0056818,             0.97521,             0.97216,              0.9818,             0.74472,              0.0232,            0.032576,           0.0035672,           0.0074656,           0.0074656,           0.0074656
                  66,            0.025642,            0.037044,           0.0055802,             0.97511,             0.97407,             0.98003,             0.74511,            0.023538,            0.033386,           0.0035264,            0.007426,            0.007426,            0.007426
                  67,            0.025865,            0.036215,           0.0059113,             0.97338,             0.97442,             0.97815,             0.74199,            0.023497,            0.033005,           0.0035156,           0.0073864,           0.0073864,           0.0073864
                  68,            0.025778,            0.036872,            0.005766,             0.97977,             0.97604,             0.98064,             0.73776,            0.023424,            0.033072,           0.0034485,           0.0073468,           0.0073468,           0.0073468
                  69,            0.025775,            0.036782,           0.0058357,              0.9734,             0.98005,             0.98365,             0.74306,            0.023345,            0.033424,           0.0036212,           0.0073072,           0.0073072,           0.0073072
                  70,            0.025566,            0.035995,           0.0057481,             0.97375,             0.98045,             0.98335,             0.74369,            0.023234,             0.03293,           0.0034021,           0.0072676,           0.0072676,           0.0072676
                  71,            0.025072,            0.035613,           0.0057476,             0.96901,             0.97217,             0.98041,             0.74676,            0.023073,            0.032688,           0.0034438,            0.007228,            0.007228,            0.007228
                  72,            0.025708,            0.035834,           0.0058137,             0.96982,             0.97702,             0.98155,              0.7501,            0.023233,            0.033367,           0.0033964,           0.0071884,           0.0071884,           0.0071884
                  73,            0.025928,            0.036831,           0.0055865,             0.97221,             0.97732,             0.98108,              0.7364,            0.023478,            0.032764,           0.0034085,           0.0071488,           0.0071488,           0.0071488
                  74,            0.025816,            0.036965,           0.0057395,             0.97881,             0.97817,             0.98163,             0.74569,            0.023201,            0.032961,           0.0035321,           0.0071092,           0.0071092,           0.0071092
                  75,            0.025389,            0.035698,           0.0057021,             0.97386,             0.97964,             0.98102,             0.74408,            0.023256,            0.032701,           0.0034046,           0.0070696,           0.0070696,           0.0070696
                  76,            0.024745,            0.036137,           0.0054558,             0.96826,             0.98078,             0.98036,             0.74448,            0.022864,             0.03273,           0.0034367,             0.00703,             0.00703,             0.00703
                  77,             0.02513,              0.0364,           0.0057288,             0.97463,             0.97901,             0.98306,             0.75037,            0.023125,            0.033222,           0.0034657,           0.0069904,           0.0069904,           0.0069904
                  78,             0.02522,            0.036507,           0.0056601,             0.97152,             0.97766,             0.98135,             0.74451,            0.023117,            0.032907,           0.0037279,           0.0069508,           0.0069508,           0.0069508
                  79,            0.025219,            0.035218,            0.005736,             0.97309,             0.97624,             0.98075,             0.74364,            0.022813,            0.032763,           0.0036875,           0.0069112,           0.0069112,           0.0069112
                  80,            0.025229,            0.036693,           0.0057078,             0.97007,             0.97619,             0.98215,             0.74368,            0.023142,            0.033176,           0.0036202,           0.0068716,           0.0068716,           0.0068716
                  81,            0.024885,            0.035541,           0.0056082,             0.97713,             0.97874,             0.98183,             0.74998,            0.022977,            0.032675,           0.0034518,            0.006832,            0.006832,            0.006832
                  82,            0.025282,            0.036534,           0.0055173,             0.97476,             0.97947,              0.9827,              0.7474,            0.023243,            0.033205,           0.0034579,           0.0067924,           0.0067924,           0.0067924
                  83,            0.024613,            0.034958,           0.0057206,             0.97625,             0.98111,             0.98162,             0.75058,               0.023,            0.032951,           0.0034166,           0.0067528,           0.0067528,           0.0067528
                  84,             0.02486,            0.034852,             0.00546,             0.97187,             0.97798,             0.98393,             0.74386,            0.023154,            0.033195,           0.0033148,           0.0067132,           0.0067132,           0.0067132
                  85,            0.024854,            0.035638,           0.0056006,              0.9739,             0.97317,             0.98172,             0.74864,            0.023167,            0.033875,            0.003477,           0.0066736,           0.0066736,           0.0066736
                  86,            0.024261,            0.035557,           0.0054178,             0.97178,             0.98126,             0.97954,              0.7473,            0.023054,            0.033892,            0.003442,            0.006634,            0.006634,            0.006634
                  87,            0.024632,            0.036244,           0.0053373,               0.978,             0.97801,             0.98191,             0.74517,            0.022681,            0.032856,           0.0034579,           0.0065944,           0.0065944,           0.0065944
                  88,            0.024554,            0.035421,           0.0052305,             0.97689,             0.98152,             0.98244,             0.74989,            0.022767,            0.032883,           0.0034113,           0.0065548,           0.0065548,           0.0065548
                  89,            0.025213,            0.036198,           0.0056172,              0.9753,               0.982,             0.98241,             0.74898,            0.022818,            0.032654,           0.0034719,           0.0065152,           0.0065152,           0.0065152
                  90,            0.024689,            0.035255,           0.0054922,             0.97792,             0.97389,             0.98287,             0.74697,            0.022702,            0.031919,           0.0032881,           0.0064756,           0.0064756,           0.0064756
                  91,            0.024927,            0.035789,           0.0054292,             0.97802,             0.97399,             0.98072,              0.7485,            0.022956,            0.032539,           0.0033714,            0.006436,            0.006436,            0.006436
                  92,            0.024342,            0.034805,           0.0054356,             0.97379,             0.97728,             0.98117,             0.74763,            0.023228,            0.033215,           0.0037566,           0.0063964,           0.0063964,           0.0063964
                  93,             0.02436,              0.0347,           0.0054344,             0.97564,             0.97833,             0.97934,             0.74418,            0.023107,            0.033215,           0.0033425,           0.0063568,           0.0063568,           0.0063568
                  94,            0.024207,            0.034976,           0.0053405,             0.97688,              0.9811,             0.98228,             0.74171,            0.023019,            0.033257,           0.0036611,           0.0063172,           0.0063172,           0.0063172
                  95,            0.024326,            0.034241,           0.0052412,             0.97236,             0.97948,             0.98012,             0.73962,            0.023039,            0.033367,           0.0032683,           0.0062776,           0.0062776,           0.0062776
                  96,            0.024337,            0.034799,           0.0054545,             0.97338,             0.98136,              0.9826,             0.75294,             0.02295,            0.033766,           0.0033319,            0.006238,            0.006238,            0.006238
                  97,             0.02462,            0.035611,           0.0054487,             0.97648,             0.97562,             0.98169,             0.75049,            0.023143,            0.033077,           0.0032532,           0.0061984,           0.0061984,           0.0061984
                  98,            0.024215,            0.036089,           0.0053327,             0.97598,             0.98139,             0.98324,             0.74655,            0.023172,            0.032753,           0.0032858,           0.0061588,           0.0061588,           0.0061588
                  99,            0.023897,             0.03446,           0.0052479,             0.97689,               0.984,             0.98165,             0.74928,            0.023197,            0.033159,           0.0032971,           0.0061192,           0.0061192,           0.0061192
                 100,            0.024359,            0.034902,           0.0053447,              0.9815,             0.98034,               0.982,             0.74232,            0.023088,            0.033283,           0.0033926,           0.0060796,           0.0060796,           0.0060796
                 101,            0.024757,            0.035424,           0.0055607,             0.97656,             0.97691,             0.98134,             0.74274,            0.022922,            0.032673,           0.0032761,             0.00604,             0.00604,             0.00604
                 102,            0.024442,            0.034502,           0.0053289,             0.97687,             0.97981,             0.98228,             0.74922,            0.023034,            0.033077,            0.003301,           0.0060004,           0.0060004,           0.0060004
                 103,             0.02393,            0.034396,           0.0053636,             0.97316,             0.97843,             0.98121,             0.74937,            0.022871,            0.032471,           0.0032998,           0.0059608,           0.0059608,           0.0059608
                 104,            0.023877,            0.034468,            0.005384,             0.97314,              0.9781,              0.9816,              0.7482,            0.022857,             0.03298,           0.0033649,           0.0059212,           0.0059212,           0.0059212
                 105,            0.024092,            0.034299,            0.005428,             0.97257,             0.97216,             0.98066,             0.74538,            0.023198,              0.0336,           0.0033168,           0.0058816,           0.0058816,           0.0058816
                 106,            0.024173,            0.034516,           0.0054639,             0.96682,             0.97605,             0.98127,             0.75147,            0.022805,            0.032854,           0.0032159,            0.005842,            0.005842,            0.005842
